0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0.356037,0.357093,0.358097,0.359051,0.359954,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364888,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365634,0.365149,0.364614,0.364032,0.363401,0.362721,0.361992,0.361214,0.360386,0.359508,0.35858,0.357601,0.356571,0.35549,0.354356,0.353171,0.351932,0.35064,0.349295,0.347895,0.34644,0.34493,0.343364,0.341741,0.34006,0.338322,0.336525,0.334669,0.332752,0.330775,0.328736
0.35493,0.356037,0.357093,0.358097,0.359051,0.359954,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364888,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365634,0.365149,0.364614,0.364032,0.363401,0.362721,0.361992,0.361214,0.360386,0.359508,0.35858,0.357601,0.356571,0.35549,0.354356,0.353171,0.351932,0.35064,0.349295,0.347895,0.34644,0.34493,0.343364,0.341741,0.34006,0.338322,0.336525,0.334669,0.332752,0.330775
0.35377,0.35493,0.356037,0.357093,0.358097,0.359051,0.359954,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364888,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365634,0.365149,0.364614,0.364032,0.363401,0.362721,0.361992,0.361214,0.360386,0.359508,0.35858,0.357601,0.356571,0.35549,0.354356,0.353171,0.351932,0.35064,0.349295,0.347895,0.34644,0.34493,0.343364,0.341741,0.34006,0.338322,0.336525,0.334669,0.332752
0.352558,0.35377,0.35493,0.356037,0.357093,0.358097,0.359051,0.359954,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364888,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365634,0.365149,0.364614,0.364032,0.363401,0.362721,0.361992,0.361214,0.360386,0.359508,0.35858,0.357601,0.356571,0.35549,0.354356,0.353171,0.351932,0.35064,0.349295,0.347895,0.34644,0.34493,0.343364,0.341741,0.34006,0.338322,0.336525,0.334669
0.351293,0.352558,0.35377,0.35493,0.356037,0.357093,0.358097,0.359051,0.359954,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364888,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365634,0.365149,0.364614,0.364032,0.363401,0.362721,0.361992,0.361214,0.360386,0.359508,0.35858,0.357601,0.356571,0.35549,0.354356,0.353171,0.351932,0.35064,0.349295,0.347895,0.34644,0.34493,0.343364,0.341741,0.34006,0.338322,0.336525
0.349974,0.351293,0.352558,0.35377,0.35493,0.356037,0.357093,0.358097,0.359051,0.359954,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364888,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365634,0.365149,0.364614,0.364032,0.363401,0.362721,0.361992,0.361214,0.360386,0.359508,0.35858,0.357601,0.356571,0.35549,0.354356,0.353171,0.351932,0.35064,0.349295,0.347895,0.34644,0.34493,0.343364,0.341741,0.34006,0.338322
0.348602,0.349974,0.351293,0.352558,0.35377,0.35493,0.356037,0.357093,0.358097,0.359051,0.359954,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364888,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365634,0.365149,0.364614,0.364032,0.363401,0.362721,0.361992,0.361214,0.360386,0.359508,0.35858,0.357601,0.356571,0.35549,0.354356,0.353171,0.351932,0.35064,0.349295,0.347895,0.34644,0.34493,0.343364,0.341741,0.34006
0.347174,0.348602,0.349974,0.351293,0.352558,0.35377,0.35493,0.356037,0.357093,0.358097,0.359051,0.359954,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364888,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365634,0.365149,0.364614,0.364032,0.363401,0.362721,0.361992,0.361214,0.360386,0.359508,0.35858,0.357601,0.356571,0.35549,0.354356,0.353171,0.351932,0.35064,0.349295,0.347895,0.34644,0.34493,0.343364,0.341741
0.345692,0.347174,0.348602,0.349974,0.351293,0.352558,0.35377,0.35493,0.356037,0.357093,0.358097,0.359051,0.359954,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364888,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365634,0.365149,0.364614,0.364032,0.363401,0.362721,0.361992,0.361214,0.360386,0.359508,0.35858,0.357601,0.356571,0.35549,0.354356,0.353171,0.351932,0.35064,0.349295,0.347895,0.34644,0.34493,0.343364
0.344154,0.345692,0.347174,0.348602,0.349974,0.351293,0.352558,0.35377,0.35493,0.356037,0.357093,0.358097,0.359051,0.359954,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364888,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365634,0.365149,0.364614,0.364032,0.363401,0.362721,0.361992,0.361214,0.360386,0.359508,0.35858,0.357601,0.356571,0.35549,0.354356,0.353171,0.351932,0.35064,0.349295,0.347895,0.34644,0.34493
